,회사명,corp_eng_name,종목코드
1946,한빛네트,"HanbitNet, Inc.",36720
1958,엔플렉스,"Nplex,Inc.",40130
1959,동서정보기술,"Dong Seo Information Technology Co., Ltd.",55000
2700,애드모바일, ,32600
3772,리더컴,"LEADER COMM.Co.,Ltd",56140
3840,허메스홀딩스,"Hermesholdings Co.,LTD",12400
3873,유티엑스,"UTX CO.,LTD.",45880
3950,글로포스트,"Glopost CO., Ltd.",37830
3951,쏠라엔텍,"SOLAR & TECH CO., LTD.",30390
3952,보홍,"Bohong Co.,Ltd.",41320
3991,동북아1호선박투자회사,DongBukaNO1ShipInvst,78420
3998,에듀아크,"EDU ARK Co., Ltd.",46350
4016,데코,Deco,13650
4093,엘앤씨피,"L&CP CO.,Ltd",15390
4110,희훈디앤지,HEEHOON DESIGN & GLOBAL.CO.LTD,19640
4117,퓨쳐인포넷,"Future Infonet, Inc.",58690
4122,쓰리디넷,"3D NET Co.,Ltd.",35400
4124,제일저축은행,Jeil Savings Bank,24100
4125,제일창업투자,Korea First Venture Capital Corporation,26540
4148,현대DSF,"HYUNDAI DSF CO.,LTD",16510
4150,네프로아이티,"NEPRO IT CO., LTD.",950030
4210,자강,ZAKANG Inc,36790
4221,케이엠에스,"KMS Co., Ltd",38830
4249,에버리소스,EVER RESOURCES INC.,20070
4250,제이에스,JS Company Limited,37110
4292,태창기업,"TAECHANG ENTERPRISE CO.,LTD",7490
4299,에이치비이에너지,"HBE ENERGY CO.,LTD",17300
4308,코어비트,COREBIT,56850
4326,동북아8호선박투자회사,Dongbuka No.8 Ship Investment Company,82110
4386,한국통신데이타,Korea Telecom Data Inc.,45760
4396,케너텍,"KENERTEC CO., LTD.",62730
4402,다휘,"DAHUI Co., Ltd.",55250
4430,코오롱아이넷,KOLON I' NETWORKS CORP.,22520
4494,캠브리지코오롱,"CAMBRIDGE KOLON CO.,LTD",4620
4509,네오세미테크,Neosemitech Corporation,89240
4518,디에이치패션,D.H FASHION CORP.,45260
4550,핸디소프트,HandySoft Corp.,32380
4553,케이엠에이치,"KMH Co., Ltd.",9690
4599,씨엘엘씨디,"CL LCD CO., LTD.",35710
4606,현대푸드시스템,HYUNDAI FOOD SYSTEM,114410
4634,메리츠종합금융,Meritz Investment Bank,12420
4651,제넥셀세인,GENEXEL-SEIN INC.,34660
4652,쓰리디월드,"3D world Co., Ltd.",65340
4688,스톰이앤에프,"Stom EnF Co.,Ltd.",43680
4714,소예,SOYEA Corporation,35010
4765,엠엔에프씨,"M&FC CO.,LTD.",48640
4772,하이트맥주,"HITE BREWERY CO., LTD.",103150
4801,보광티에스,"Bokwang TS Co.,LTD.",66690
4802,아인스엠앤엠,"Ein's M&M CO., LTD",40740
4953,씨엔씨엔터프라이즈,"C&C ENTERPRISE CO.,LTD",38420
4967,아이알디,"International Resources Development Co.,Ltd",84810
4994,바이나믹,"BYNAMIC CO., LTD.",67850
5097,코크렙제7호위탁관리부동산투자회사,KOCREF REIT 7,86720
5098,엔빅스,"ENBIGS Co., Ltd.",54170
5189,선팩테크,"SUNPACKTECH CO., LTD.",54010
5232,마이크로닉스,MICRONIX CO,1190
5251,블루스톤디앤아이,"Blue Stone D&I Co., Ltd.",33720
5291,신지소프트,SINJISOFTCorporation,78700
5362,맥쿼리센트럴오피스기업구조조정부동산투자회사,MACQUARIE CENTRAL OFFICE CORPORATE,76850
5404,테스텍,Testech Incorporation,48510
5456,중앙디자인,"Joong Ang Design Co., Ltd",30030
5551,에코페트로시스템,"ECOPETRO SYSTEM Co., Ltd.",42870
5570,한림창업투자,Hallim Venture Capital,21060
5619,헤쎄나,"Hecenat Co.,Ltd",36270
5651,미래에셋굿라이프혼합형자녀를위한투자회사10-1,MIRAEASSETGOODLIFEBALANCEDFUND10-1,37510
5699,일공공일안경콘택트,"1001 OPTICAL Co., Ltd",32030
5858,지앤알,G&R Inc.,43630
5879,셀런,"CELRUN CO.,LTD",13240
5891,한국베트남15-1유전해외자원개발투자회사,Korea Vietnam15-1Oil Overseas Resources Development Fund,93820
5953,에이치원바이오,H1BIO Corp.,52310
5964,씨앤중공업,"C&HEAVY INDUSTRIES CO.,LTD",8400
5965,FnC코오롱,FnC KOLON CORP,1370
5999,제너비오믹스,"Xana-BiomiX Co., LTD.",17010
6016,케드콤,"KEDCOM CO.,LTD",11050
6064,지엔텍홀딩스,"GENTECH HOLDINGS Co., Ltd.",65410
6078,동부씨엔아이,"Dongbu CNI Co.,Ltd.",44640
6098,아이피에스,IPSLtd.,51820
6107,에스브이에이치,"SVH co., Ltd.",46240
6141,제이콤,"Jcommunications Co., Ltd.",60750
6153,옥션,"EBAY AUCTION CO., LTD",43790
6160,네이쳐글로벌,NatureGlobal Inc.,88020
6179,GB블루오션베트남주식혼합형투자회사1호,GB Blue Ocean VIETNAM EQUITY BALANCED FUND [1],94950
6226,엠씨티티코어,MCTT CORE Inc.,52210
6242,에이스앤파트너스,Ace & Partners,32930
6257,지앤디윈텍,"GND WINTECH CO.,LTD.",61050
6276,인터피온반도체,"INTERPION SEM CONDUCTOR CO.,LTD",14010
6277,솔로몬저축은행,SOLOMON SAVINGS BANK,7800
6287,엠트론스토리지테크놀로지,"MTRON STORAGE TECHNOLOGY CO.,LTD.",46320
6328,에스티앤아이,"ST&I Co., Ltd.",31800
6333,유퍼트,"UPERT, INC.",60670
6335,엑스로드,"XROAD Co., Ltd.",74140
6336,선우중공업,"SUNWOO HEAVY INDUSTRIES CO.,LTD",68770
6374,남양,NAMYANG CORPORATION,3020
6379,엘지데이콤,LG Dacom Corporation,15940
6380,LG파워콤,LG Powercom Corporation,45820
6386,동산진흥,DongsanDevelopment,31960
6387,티이씨,"TEC Co.,Ltd",67950
6388,한국기술산업,KoreaTechnology,8320
6409,스타맥스,"Starmax Co., Ltd.",17050
6443,유성티에스아이,"Yoo Sung Technique & Strategy Investment Co., Ltd",24870
6654,네오리소스,"NEO RESOURCE CO.,LTD",58550
6680,케이알,"KR CO.,LTD.",35950
6704,씨앤상선,"C&MERCHANT MARINE CO.,LTD",790
6816,투미비티,"TumiBT Co.,Ltd",58900
6878,코아정보시스템,"Core Information System Co., Ltd.",39990
6888,케이에스리소스,KS Resources Corporation,66340
6889,세계투어,"SEGYE TOUR CO., LTD",47600
6980,동양밸류오션기업인수목적,Tongyang Value Ocean Special Purpose Acquisition Company,122290
7002,케이이엔지,"K-eng CO., LTD",77960
7005,사이버패스,CyberpassIncorporation,63280
7010,산양전기,"SANYANGELECTROMECHANICSCO.,LTD",79870
7020,으뜸상호저축은행,EUTTEUM MUTUAL SAVINGS BANK,32150
7058,국제개발,ICCORPORATION,80570
7081,세신,"SESHIN Co.,Ltd.",4230
7160,골든브릿지더블유엠경매부동산일호투자회사,GOLDEN BRIDGE WM AUCTION REAL ESTATE FUND[1],84160
7219,엘앤피아너스,"LNP HONORS, INC.",61140
7236,에이스일렉트로닉스,"ACE ELECTRONICS CO.,LTD.",38690
7258,디앤샵,"d&shop Co., Ltd.",90090
7259,더체인지,The ChainG Corp,54120
7316,다산자기관리부동산투자회사,DASAN REIT,105380
7346,써니트렌드,"Sunny Trends Co.,ltd",35500
7347,뉴젠비아이티,NewGen BIT CORPORATION.,54650
7349,룩소네이트,"Bluemum Co., Ltd.",33880
7385,현대오토넷,"HYUNDAI AUTONET CO.,LTD.",42100
7386,LG마이크론,LG Micron Ltd.,16990
7447,서광건설산업,"SEOKWANG CONSTRUCTION CO.,LTD",1600
7461,플러스프로핏,"Plus Profit Co., Ltd",36660
7477,한와이어리스,"Hanwireless Co., Ltd.",37020
7478,포휴먼,"FORHUMAN CO., LTD",49690
7562,알이네트웍스,"RENetworks Co.,Ltd",23670
7577,케이알제2호개발전문위탁관리부동산투자회사,"KR2 Development REIT CO., Ltd.",101790
7631,미래에셋맵스오퍼튜니티베트남주식혼합형투자회사1호,MIRAEASSET MAPS OPPORTUNITY VIETNAM EQUITY BALANCED FUND 1,94520
7681,씨티엘테크,"CTL TEC Co.,Ltd",88960
7691,이디디컴퍼니,"EDD COMPANY CO., LTD",52650
7715,케이티프리텔,"KT FREETEL. CO., LTD",32390
7745,메카포럼,"MECCA FORUM CO., LTD",35830
7755,에스피코프,SP CORP.,48130
7794,이롬텍,"EROM Tech Co.,Ltd",45400
7852,이앤텍,"E & TECH CO.,LTD",47450
7934,맥스브로,"Maxbro COMPANY, LIMITED",88810
7936,토자이홀딩스,TOZAI Holdings Inc.,37700
7953,우방,"WOOBANG CONSTRUCTION CO.,LTD.",13200
7976,동양매직,"TONG YANG MAGIC CO., LTD",23020
7977,코웰이홀딩스유한공사,CowelleHoldingsInc.,900020
7985,아구스,ARGUSInc.,78670
8036,대한은박지,"DAIHAN EUNPAKGY CO.,LTD",7480
8038,인스프리트,"Insprit, Inc.",73130
8044,하이럭스,"HILUX CO., LTD.",79340
8050,트리니티,"Trinity CO., LTD.",53070
8054,카라반케이디이,"CARAVAN KDE CO., LTD.",32570
8075,더존디지털웨어,"Duzon Digital Ware Co.,Ltd.",45380
8080,디보스,DIBOSS CORPORATION,80140
8102,포네이처,"For Nature Co., LTD.",45290
8103,테이크시스템즈,"TAKESYSTEMSCO.,Ltd.",76090
8104,폴켐,Polchem Inc.,33190
8148,유리이에스,"Yurie ES CO.,LTD.",7050
8166,에프아이투어,FIT Inc.,47370
8167,모빌탑,"MobiletopCo.,Ltd.",85680
8183,올리브나인,"Olive Nine Co.,Ltd.",52970
8187,디패션,"De Passion co.,ltd.",30420
8289,알덱스,"ALDEX CO.,LTD",25970
8296,오라바이오틱스,ORAH BIOTICS INC.,16160
8304,시노펙스그린테크,Synopex Green Tech Inc.,37320
8393,야호커뮤니케이션,"YAHOH Communication Co., Ltd.",59720
8395,브이케이,VK CORPORATION,48760
8397,팬택앤큐리텔,"Pantech&Curitel Communications, Inc.",63350
8404,팬텀엔터테인먼트그룹,"FANTOM ENTERTAINMENT GROUP CO., LTD",25460
8408,삼성수산,"Samsung Fisheries co., Ltd.",52560
8434,동북아15호선박투자회사,Dongbuka No.15 Ship Investment Company,84240
8488,쌈지,"SSAMZIE CO., LTD.",33260
8511,브이오산업,"MORARESOURCE Co., Ltd",18890
8521,코디콤,"KODICOM CO., LTD.",41800
8536,제네시스엔알디,"GENESISNRD CO.,LTD",52640
8596,동북아6호선박투자회사,DongbukaNo.6ShipInv,80410
8605,인네트,"INNET Co., Ltd",41450
8624,한국월드와이드아시아태평양특별자산1호투자회사,Korea World Wide Asia Pacific Special Assets Fund [1],98150
8641,헤파호프코리아,HepaHope Korea Inc.,39350
8762,휴리프,"HULIF CO.,LTD",6210
8777,하이스마텍,"HiSmarTech Co., Ltd.",57100
